VLSCTH232470601!NPI!100004689680!1131265-04!1131265-04-B-1W!VIPERLITE POD|PLATFORMS-SERVER!PCBA!610005!610005:Pre-FQA!251.85!26.20!2024-02-02 03:19:43!PCIE_DEVPATH_MISSING!!DB03
CTH2348-01816!NPI!100004845397!1144101!1144101-A-1W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!86.24!13.09!2024-02-15 05:51:34!vf_si_unexpected_fail!Failing Child Step='vfsi_cdmii - vfsi';vf_si binary have non-zero return value: 1!DB03
CTH2401-01366!NPI!100004875145!1167689!1167689-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!49.81!0.86!2024-02-27 11:31:13!EXCESSIVE_VX_POWER_CORE_FAIL_COUNT!Failing Child Step='didt_sweep - Diag';Attribute 'vx-power-core-fail-count' has 1 violated entries during didt. Violated entries: 67_on_29_off!DB03
CTH2351-70833!NPI!100004868905!1143032!1143032-E-1W!VIPERLITE POD|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!70.56!42.00!2024-01-17 08:07:00!EXCESSIVE_VX_THERMAL_IMPEDANCE!Failing Child Step='thermal_impedance_with_retry - Diag';Attribute 'vx-thermal-impedance' has 1 violated entries. Violated entries: asic-thermal-impedance!DB06
CTH2403-01903!NPI!100004875149!1167689!1167689-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!41.76!7.77!2024-02-20 13:41:28!VX_POWER_EXECUTION!Failing Child Step='vf_tdp_thermal_impedance - vx-power-execution';vx_power finished with errors:;E0117 09:03:12.160931   36573 async_driver.cc:487] [device_path: 	 "/dev/vfio/136" mode: KERNEL]!DB03
PNGCTH230510989!CTN!100004598260!42000834-12!42000834-12-0B-1W!GRANITE|PLATFORMS-NETWORKING!PCBA!610005!610005:Pre-FQA!390.98!307.28!2023-04-27 01:17:22!005!-!DB06
CTH2346-02911!NPI!100004830192!1137082!1137082-06-1W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!102.81!13.06!2024-02-15 06:43:58!VF_SI_ERROR!Failing Child Step='vfsi_cdmii - Diag';vf_si Empty csv file!DB03
CTH2345-01875!NPI!100004825304!1137082!1137082-06-1W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!106.19!13.10!2024-02-15 05:50:23!vf_si_unexpected_fail!Failing Child Step='vfsi_cdmii - vfsi';vf_si binary have non-zero return value: 1!DB03
CTH2348-00553!NPI!100004836710!1144101!1144101-A-1W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!88.22!13.09!2024-02-15 05:50:59!vf_si_unexpected_fail!Failing Child Step='vfsi_cdmii - vfsi';vf_si binary have non-zero return value: 1!DB03
PNGCTH230603378!CTN!100004598262!42000834-12!42000834-12-0B-1W!GRANITE|PLATFORMS-NETWORKING!PCBA!610005!610005:Pre-FQA!384.77!252.22!2023-06-21 02:54:56!005!!DB06
PNGCTH224518589!CTN!100004564441!42000834-12!42000834-12-0B-1W!GRANITE|PLATFORMS-NETWORKING!PCBA!610005!610005:Pre-FQA!378.03!356.04!2023-03-09 07:14:24!ICT_FAIL!Fix:FICT2239/Failed : Power SetUp!DB03
CTH2406-00484!NPI!100004888814!1167689!1167689-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!20.30!0.52!2024-02-27 19:33:03!vfc3_telemetry!value='--' lower_limit='OK' upper_limit=''!DB03
CTH2406-03354!NPI!100004888814!1167689!1167689-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!18.95!0.94!2024-02-27 09:34:05!OSFP_MISSING!Failed to find phys/PE0/IO0/CDFP/DOWNLINK:device:osfp_mgmt_14 in hardware parts.!DB03
PNGCTH230509172!CTN!100004598259!42000834-12!42000834-12-0B-1W!GRANITE|PLATFORMS-NETWORKING!PCBA!610005!610005:Pre-FQA!381.49!322.78!2023-04-11 13:28:44!005!-!DB06
CTH2407-02747!NPI!100004926465!1182242!1182242-01-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!13.57!1.47!2024-02-26 20:50:32!VX_PV_TGEN_FAILED!Failing Child Step='hbm_tgen_pv - hbm_tgen_pv-run-test';INTERNAL: TC0 is halted before Stop flag was set. Core Status: run_state = 2 pc=332 halted_due_to_instruction=false!DB03
CTH2348-03008!NPI!100004845397!1144101!1144101-A-1W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!85.71!29.02!2024-01-30 07:42:21!ping_device_from_host_tray_fail!Failed to ping fe80::a0d5:9dff:fe6c:6e6a%gbmcbr from the host tray!DB03
CTH2407-02957!NPI!100004926465!1182242!1182242-01-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!13.27!1.26!2024-02-27 01:48:36!STETHOSCOPE_STOP_ERROR!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!DB03
CTH2405-00650!NPI!100004888813!1167689!1167689-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!30.27!0.69!2024-02-27 15:28:45!OSFP_MISSING!Failed to find phys/PE0/IO0/CDFP/DOWNLINK:device:osfp_mgmt_4 in hardware parts.!DB03
CTH2406-00762!NPI!100004888814!1167689!1167689-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!19.65!1.87!2024-02-26 11:21:48!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='vf_tdp_thermal_impedance - tdp';Attribute 'vx-power-run-status' has 1 violated entries during vx-power-tdp. Violated entries: UNKNOWN_0!DB03
CTH2404-02872!NPI!100004888812!1167689!1167689-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!31.56!0.94!2024-02-27 09:30:52!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC3:device:asic!DB03
CTH2406-01761!NPI!100004888814!1167689!1167689-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!19.27!0.73!2024-02-27 14:43:04!tpu_error_p5x_execution!Failing Child Step='Tpu Sdc - p5x-execution';Target tray0chip1 Iteration 0, Unable to read results file /data/tmp/tmpxvwdz7_l/tray0chip1/iteration0/golden_comparison_results.textproto, P5x failed!DB03
PNGCTH230503607!CTN!100004598260!42000834-12!42000834-12-0B-1W!GRANITE|PLATFORMS-NETWORKING!PCBA!610005!610005:Pre-FQA!384.13!317.05!2023-04-17 06:49:11!ICT_FAIL!Failed : Power SetUp!DB03
PNGCTH230511692!CTN!100004598260!42000834-12!42000834-12-0B-1W!GRANITE|PLATFORMS-NETWORKING!PCBA!610005!610005:Pre-FQA!386.68!317.06!2023-04-17 06:37:22!ICT_FAIL!Failed : Power SetUp!DB03
PNGCTH230505819!CTN!100004598260!42000834-12!42000834-12-0B-1W!GRANITE|PLATFORMS-NETWORKING!PCBA!610005!610005:Pre-FQA!385.53!315.54!2023-04-18 19:03:27!005!!DB03
CTH2347-72539!NPI!100004823674!1143032!1143032-E-1W!VIPERLITE POD|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!91.00!76.90!2023-12-13 10:34:54!EXCESSIVE_VX_THERMAL_IMPEDANCE!Failing Child Step='thermal_impedance_with_retry - Diag';Attribute 'vx-thermal-impedance' has 1 violated entries. Violated entries: asic-thermal-impedance!DB06
CTH2407-00960!NPI!100004926465!1182242!1182242-01-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!14.05!0.65!2024-02-27 16:27:46!EXCESSIVE_TGEN_CORRECTABLE_ECC_ERRORS!Failing Child Step='hbm_tgen_pv - hbm_tgen_pv-run-test-tdp_no_hbm-row_hammer';Attribute 'tgen-correctable-ecc-errors' has 1 violated entries during tgen-row_hammer. Violated entries: block-31-nod!DB03
CTH2404-04778!NPI!100004888812!1167689!1167689-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!32.62!0.73!2024-02-27 14:43:07!EXCESSIVE_SEAWORTHY_TEST_RESULTS!Failing Child Step='seaworthy_margin_up [Voltage Margin UP] - seaworthy_iteration_0';Attribute 'seaworthy-test-results' has 3 violated entries during seaworthy. Violated entries: SeaworthyTest.Al!DB03
VFDCTH235102389!NPI!100004862665!1128352-09!1128352-09-B-2W!VIPERFISH|PLATFORMS-SERVER!PCBA!610005!610005:Pre-FQA!67.88!53.90!2024-01-05 10:35:22!VX_POWER_TIMEOUT!!DB03
CTH2408-00613!NPI!100004933201!1182242!1182242-01-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!7.74!0.22!2024-02-28 02:56:18!vfc3_telemetry!value='--' lower_limit='OK' upper_limit=''!DB03
CTH2408-00535!NPI!100004933201!1182242!1182242-01-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!7.93!0.21!2024-02-28 03:05:40!062_0x2B_vfc0_delta_d50s400a_ibc_a!value='--' lower_limit='OK' upper_limit=''!DB03
CTH2406-01056!NPI!100004888814!1167689!1167689-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!19.48!0.73!2024-02-27 14:43:22!ping_gbmc_retry_from_host_tray_fail!Failed to ping fe80::a0d5:9dff:fe6c:6e6a%gbmcbr from the host tray!DB03
CTH2407-00835!NPI!100004926465!1182242!1182242-01-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!14.77!1.76!2024-02-26 13:47:04!EXCESSIVE_HELLO_VFC_SMARTDIAG!Failing Child Step='hello_vfc - Diag';Attribute 'hello_vfc_smartdiag' has 2 violated entries. Violated entries: HelloTestSuite/HelloTc:CoreDumpCollectCsrsTest/Core0,HelloTestSuite/HelloTc:CoreDum!DB03
CTH2403-06367!NPI!100004897565!1167689!1167689-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!37.90!0.82!2024-02-27 12:27:58!vf_loopbacks_fab_failed!Failing Child Step='vf_loopback_external - Diag';Test command '/export/hda3/tests/vf_loopback_fabs/vf_loopback_fabs_test_executable.runfiles/google3/platforms/asic_sw/tools/deepsea/vxc/vfc/vf_loo!DB03
CTH2407-01203!NPI!100004875215!1167688!1167688-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!14.70!1.22!2024-02-27 02:54:30!VF_SI_ICI_SERDES_FAIL!OSFP3!DB03
CTH2406-03365!NPI!100004888814!1167689!1167689-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!18.97!0.27!2024-02-28 01:38:21!OSFP_MISSING!Failed to find phys/PE0/IO0/CDFP/DOWNLINK:device:osfp_mgmt_15 in hardware parts.!DB03
CTH2407-00592!NPI!100004888814!1167689!1167689-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!14.30!0.71!2024-02-27 15:04:56!EXCESSIVE_SEAWORTHY_TEST_RESULTS!Failing Child Step='seaworthy_margin_down [Voltage Margin DOWN] - seaworthy_iteration_0';Attribute 'seaworthy-test-results' has 2 violated entries during seaworthy. Violated entries: MatmulConsis!DB03
CTH2403-06453!NPI!100004875198!1167688!1167688-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!38.07!28.42!2024-01-30 22:01:14!EXCESSIVE_HELLO_VFC_SMARTDIAG!Failing Child Step='hello_vfc - Diag';Attribute 'hello_vfc_smartdiag' has 2 violated entries. Violated entries: HelloTestSuite/HelloTc:CoreDumpCollectCsrsTest/Core0,HelloTestSuite/HelloTc:CoreDum!DB03
VFDCTH240303570!NPI!100004897563!1128352-09!1128352-09-B-2W!VIPERFISH|PLATFORMS-SERVER!PCBA!610005!610005:Pre-FQA!40.47!8.42!2024-02-19 22:05:27!EXCESSIVE_VX_POWER_RUN_STATUS!!DB03
CTH2348-01682!NPI!100004836710!1144101!1144101-A-1W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!87.99!13.10!2024-02-15 05:38:24!vf_si_unexpected_fail!Failing Child Step='vfsi_cdmii - vfsi';vf_si binary have non-zero return value: 1!DB03
CTH2408-00338!NPI!100004933201!1182242!1182242-01-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!8.09!0.14!2024-02-28 04:45:23!vfc1_telemetry!value='--' lower_limit='OK' upper_limit=''!DB03
CTH2405-04650!NPI!100004888813!1167689!1167689-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!28.15!1.21!2024-02-27 03:02:14!pcie_vfc0_width!value='x8' lower_limit='x16' upper_limit=''!DB03
CTH2403-01546!NPI!100004888812!1167689!1167689-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!41.08!10.95!2024-02-17 09:13:37!PCIE_VFC2_WIDTH!value='x8' lower_limit='x16' upper_limit=''!DB03
VFDCTH240503300!NPI!100004888819!1128352-09!1128352-09-B-2W!VIPERFISH|PLATFORMS-SERVER!PCBA!610005!610005:Pre-FQA!27.78!11.27!2024-02-17 01:33:16!ICT_FAIL!!DB03
CTH2405-04017!NPI!100004888813!1167689!1167689-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!27.80!0.95!2024-02-27 09:25:21!OSFP_MISSING!Failed to find phys/PE0/IO0/CDFP/DOWNLINK:device:osfp_mgmt_10 in hardware parts.!DB03
CTH2408-00240!NPI!100004933201!1182242!1182242-01-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!8.17!1.99!2024-02-26 08:17:25!vfc1_telemetry!value='--' lower_limit='OK' upper_limit=''!DB03
CTH2405-00601!NPI!100004888813!1167689!1167689-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!30.28!0.95!2024-02-27 09:25:09!OSFP_MISSING!Failed to find phys/PE0/IO0/CDFP/DOWNLINK:device:osfp_mgmt_0 in hardware parts.!DB03
CTH2407-04480!NPI!100004903472!1167688!1167688-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!8.40!1.22!2024-02-27 02:54:17!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - tdp';Attribute 'vx-power-run-status' has 1 violated entries during vx-power-tdp. Violated entries: UNKNOWN_0!DB03
CTH2405-01595!NPI!100004888813!1167689!1167689-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!29.24!0.73!2024-02-27 14:43:19!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC3:device:asic!DB03
VFDCTH240703314!NPI!100004903475!1128352-09!1128352-09-B-2W!VIPERFISH|PLATFORMS-SERVER!PCBA!610005!610005:Pre-FQA!12.16!5.71!2024-02-22 15:09:00!vfc_aapl_failed!!DB03
VFDCTH240703359!NPI!100004903475!1128352-09!1128352-09-B-2W!VIPERFISH|PLATFORMS-SERVER!PCBA!610005!610005:Pre-FQA!12.27!5.72!2024-02-22 14:46:36!vfc2_telemetry!!DB03
PFPCTH233600298!CTN!100004755502!1072985-04!1072985-04-H-1W!COBEGO|PLATFORMS-SERVER!PCBA!610005!610005:Pre-FQA!172.03!6.50!2024-02-21 20:03:48!PCIE_COUNT_FAIL!!DB03
CTH2407-03625!NPI!100004875215!1167688!1167688-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!8.79!0.01!2024-02-28 07:50:34!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - tdp';Attribute 'vx-power-run-status' has 1 violated entries during vx-power-tdp. Violated entries: UNKNOWN_0!DB03
VFDCTH240600561!NPI!100004888820!1128352-09!1128352-09-B-2W!VIPERFISH|PLATFORMS-SERVER!PCBA!610005!610005:Pre-FQA!22.29!13.37!2024-02-14 23:18:26!TPU_HBM_LANE_REPAIR_FAILED_HARD!!DB03
VFDCTH240603460!NPI!100004912592!1128352-09!1128352-09-B-2W!VIPERFISH|PLATFORMS-SERVER!PCBA!610005!610005:Pre-FQA!17.71!11.48!2024-02-16 20:42:58!vf_si_unexpected_fail!!DB03
VFDCTH240703149!NPI!100004903475!1128352-09!1128352-09-B-2W!VIPERFISH|PLATFORMS-SERVER!PCBA!610005!610005:Pre-FQA!11.67!0.07!2024-02-28 06:30:33!tpu_dauntless_haven_firmware_update_error!!DB03
NCS23160135!NPI!100004638341!PT100-G0106-03!PT100-G0106-03041D!DIORITE|PLATFORMS-NETWORKING!!610005!610005:Pre-FQA!311.92!217.88!2023-07-25 11:03:41!005!Netboot Dram!DB06
CTH2407-05375!NPI!100004933201!1182242!1182242-01-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!7.30!0.27!2024-02-28 01:33:58!VX_PV_TGEN_FAILED!Failing Child Step='hbm_tgen_pv - hbm_tgen_pv-run-test';INTERNAL: TC0 is halted before Stop flag was set. Core Status: run_state = 2 pc=355 halted_due_to_instruction=false!DB03
CTH2406-01650!NPI!100004888814!1167689!1167689-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!19.41!0.01!2024-02-28 07:51:58!VX_POWER_EXECUTION!Failing Child Step='vf_tdp_thermal_impedance - vx-power-execution';vx_power finished with errors:;E0201 09:51:34.790717   35604 async_driver.cc:487] [device_path: 	 "/dev/vfio/136" mode: KERNEL]!DB03
CTH2407-04483!NPI!100004903472!1167688!1167688-B-2W!VIPERFISH|PLATFORMS-SERVER!SYSTEM ASSEMBLY!610005!610005:Pre-FQA!8.40!1.22!2024-02-27 02:52:40!VXC_RESTORE_HBM_FAILED!Failing Child Step='hbm_tgen_pv - hbm_tgen_pv';VxC HBM Configuration failed: Command /export/hda3/tests/vf_hwqual_setup_fabs/vf_hbm -id 3 -reset --noenvelope_enabled failed. Output:;STDERR: E0219!DB03
VFDCTH240601206!NPI!100004896344!1128352-09!1128352-09-B-2W!VIPERFISH|PLATFORMS-SERVER!PCBA!610005!610005:Pre-FQA!22.58!11.27!2024-02-17 01:36:23!005!!DB03
